ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
146,Gary,Aqueducts Begin,,"Ok. You've made it to the Aqueducts, Kiki.","Bon. Tu as atteint les canalisations, Kiki.","Okay. Du hast es zu den Aquädukten geschafft, Kiki.","Vale. Has llegado a los acueductos, Kiki.","Ok. Você chegou nos Aquedutos, Kiki.","Так, Кики. Ты добралась до Акведука.",よし、アクアダクトへやってきたぞ。,"좋아. 송수로에 도착했구나, 나비야.",好嘞。你成功来到输水区了，琪琪。,好耶。你到了大溝渠，琪琪。,好嘞。你到了大渡槽，琪琪。
147,Gary,Aqueducts Begin,,"Well done, so far! Now to drain this water...","Tu t'en sors bien. Maintenant, il faut vider l'eau...",Das war soweit ganz gut. Nun müssen wir dieses Wasser ableiten ...,¡Por ahora vas muy bien! Ahora hay que drenar esta agua...,Está indo tudo bem até agora. Precisamos drenar essa água...,Пока все идет довольно неплохо! Теперь надо осушить воду...,今のところは順調だ！ さてと、ここの水を抜くには...,계속 잘하고 있어! 이제 이 물을 빼내려면...,前面的表现都不错！现在去把水给排干吧……,截至目前，做得不錯！現在要把水排乾...,截至目前，干得不错！现在要把水排干...
148,Gary,Aqueducts Begin,,Well... Drain the water and you can finally stay dry.,Alors... Évacue toute cette eau et tu n'auras plus besoin de te mouiller.,"Nun ... Lass das Wasser abfließen, dann bleibst du endlich trocken.",Bueno... Drena el agua y por fin podrás estar seca.,Bem... Drene a água e você finalmente poderá ficar sequinha.,Как бы... Осушим воду - и мокнуть больше не надо будет.,その...水を抜けばいい。そしたら おまえは二度とぬれない。,음... 물을 빼내면 드디어 건조하게 있을 수 있을 거야.,嗯……把水排出去后你就干爽了。,嗯...先把水排乾你才能保持身體乾燥。,唔...先把水排干你才能保持身上干燥。
149,Gary,Aqueducts Begin,,There are three Drains that you need to find.,Tu vas devoir trouver trois tuyaux.,Du musst drei Abläufe finden.,Tienes que encontrar tres desagües.,São três ralos que você precisa achar.,Тут где-то должны быть три водоотвода.,排水管はぜんぶで3つ。,찾아야 할 배수구가 세 개 있어.,你需要找到三个排水口。,你需要找到三個排水口。,你需要找到三个排水口。
150,Gary,Aqueducts Begin,,They should be connected to the corridor below. Easy.,Ils doivent être reliés au couloir en-dessous. C'est facile.,Sie sollten mit dem Korridor unten verbunden sein. Ganz einfach.,Deberían estar conectados al corredor de abajo. Es fácil.,Eles devem estar conectados ao corredor abaixo. Moleza.,И они должны соединяться с коридором внизу. Ничего сложного.,いずれも下の通路につながっている。 ちょろいもんだ。,아래 복도에 연결돼있을 거야. 쉬워.,它们应该都和下面的通道相连。小事一桩啦。,它們應該都連著下面的走廊。輕而易舉。,它们应该都连着下面的走廊。轻而易举。
151,Gary,Aqueducts Begin,,Sigh. I can never tell if you're listening.,Pff. Je ne sais jamais si tu m'écoutes.,"Seufz. Ich weiß nie, ob du zuhörst.",Ay. Nunca sé si me estás escuchando.,Puxa. Eu nunca sei se você está me ouvindo.,"Эх. Интересно, ты меня понимаешь или все-таки нет?",やれやれ...ちゃんと話を 聞いてるんだかな...,하아... 네가 잘 듣고 있나 모르겠네.,唉。也不知道你有没有在听。,唉。我總是搞不清你聽沒聽懂。,唉。我总是搞不清你听没听懂。
152,Gary,Water Drain Tutorial,,Hey Kiki... Remember those Drains I mentioned?,"Hé, Kiki... Tu te souviens des tuyaux dont je t'ai parlé ?","Hey Kiki ... Erinnerst du dich an die Abläufe, von denen ich sprach?","Oye, Kiki... ¿Te acuerdas de esos desagües que te comenté?","Ei, Kiki... Lembra dos ralos que eu mencionei?","Эй, Кики... Помнишь, я про водоотводы говорил?",やあ、キキ...排水管があると 言ったろう？,"저기, 나비야... 배수구를 찾아야 한다는 거 안 잊었지?",嘿，琪琪……还记得我之前提的那些排水口吗？,嘿琪琪...還記得我提到過的排水口嗎？,嘿琪琪...还记得我提到过的排水口吗？
153,Gary,Water Drain Tutorial,,Anyway...,Bref...,Wie dem auch sei ...,Bueno...,Enfim...,"Вон, смотри...",とにかくまあ...,어쨌든...,总之……,反正...,反正...
154,Gary,Water Drain Tutorial,,That cat-sized treadmill should drain the top level.,Ce tapis roulant devrait te permettre de vider le niveau supérieur.,Diese Tretmühle in Katzengröße sollte die obere Etage entwässern.,Esa cinta de correr para gatos debería drenar el nivel superior.,Aquela esteira do seu tamanho deve drenar o último nível.,Эта беговая дорожка для котов осушает верхний уровень.,あのネコちゃんサイズのルームランナーで、上層階を排水できるはずだ。,가운데에 있는 고양이가 올라갈 정도 크기의 쳇바퀴에서 달리면 위쪽 물이 빠질 거야.,那架猫咪大小的跑步机应该能把顶层的水给排干。,那個貓咪大小的跑步機應該能把頂層排乾。,那个猫咪大小的跑步机应该能把顶层排干。
155,Gary,Drain Results,,"That's it! One down, two to go!","C'est ça ! Et d'un, plus que deux !","Gut so! Einer ist geschafft, bleiben noch zwei!","¡Eso es! ¡Uno menos, quedan dos!","Isso aí! Um já foi, faltam dois!",Успех! Осталось еще две.,やったぞ！残り2つだ！,"됐어! 하나 끝났고, 이제 두 개 남았네!",干得好！搞定一个，还剩两个！,做得好！一個搞定了，還剩兩個！,干得好！一个搞定了，还剩两个！
156,Gary,Drain Results,,Over and out.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,通话完毕。,完畢。,完毕。
157,Gary,Drain Results,,One more Drain left!,Plus qu'un tuyau !,Es ist noch ein Abfluss übrig!,¡Queda un desagüe más!,Só falta um ralo!,Еще одна осталась!,排水管は残り1つだ！,이제 하나 남았어!,还剩一个排水口！,還剩一個排水口！,还剩一个排水口！
158,Gary,Drain Results,,"Stay motivated, Kiki! You got this!","Ne baisse pas les pattes, Kiki ! Tu peux le faire !","Bleib am Ball, Kiki! Du schaffst das!","¡No pierdas la motivación, Kiki! ¡Está casi hecho!","Não perca o ânimo, Kiki! Você consegue!","Давай, Кики, у тебя получится! Обязательно получится!",気を抜くなよ、キキ！ おまえならできる！,"계속해, 나비야! 얼마 안 남았어!",加油啊，琪琪！你能行的！,繼續努力呀，琪琪！你沒問題的！,继续努力呀，琪琪！你没问题的！
159,Gary,Drain Results,,"That's the last one! Way to go, Kiki!","C'est le dernier ! Bravo, Kiki !","Das ist der Letzte! Gut so, Kiki!","¡Ese es el último! ¡Así se hace, Kiki!","Esse é o último! Mandou bem, Kiki!","Последняя! Умница, Кики!",そいつで最後だ！よくやったぞ、キキ！,"이게 마지막 배수구야! 잘했어, 나비야!",最后的也搞定了！真棒，琪琪！,最後一個搞定了！真棒呀，琪琪！,最后一个搞定了！真棒呀，琪琪！
160,Gary,Drain Results,,Time to get back to the Nexus.,Tu peux retourner au centre de contrôle.,"Es ist Zeit, zum Nexus zurückzukehren.",Es hora de volver al nexo.,Hora de voltar para o Nexus.,Теперь нужно вернуться в Нексус.,さあ、ネクサスへ戻ろう。,이제 넥서스로 돌아가자.,该回奈克瑟斯了。,該回新星中心了。,该回新星中心了。
161,Gary,Boss 2 Intro,,Kiki... I'm getting a strange reading. Is this a dead end?,Kiki... Je reçois un signal étrange. C'est une voie sans issue ?,Kiki ... Ich erhalte einen seltsamen Wert. Ist das eine Sackgasse?,Kiki... Estoy recibiendo señales extrañas. ¿Esto es un callejón sin salida?,Kiki... Estou detectando sinais estranhos. Entramos em um beco sem saída?,"Кики... На радаре что-то странное. Там что, тупик?",キキ...数値がヘンだぞ。行き止まりか？,나비야... 이상한 신호가 잡히는데. 막다른 길이야?,琪琪……我收到了奇怪的信号。这莫非是死路？,琪琪...我這裡收到了個奇怪的顯示。前面難道是死巷？,琪琪...我这儿收到了个奇怪的示数。前面难道是死胡同？
162,Mouse,Boss 2 Intro,,Squeek Squeek!,"Couic, couic !","Quiek, quiek!","¡Iiiik, iiiik!",Squik squik!,Пи-пи-пи!,チューチューチュー！,찍 찍!,吱吱！吱吱！,吱吱吱吱！,吱吱吱吱！
163,Gary,Boss 2 Intro,,Oh! It's another mouse? Disgusting!,Oh ! Une autre souris ? Beurk !,Oh! Ist es wieder eine Maus? Ekelhaft!,¡Oh! ¿Otro ratón? ¡Qué asco!,Ah! Outro rato? Éca!,"Ой! Там мыши? Фу, мерзость какая!",ぬおっ！またネズミか？汚らわしい！,오! 저번이랑 다른 쥐인가? 기분 나쁘게 생겼네!,哦！又是老鼠？真恶心！,噢！又是一隻老鼠？真噁心！,噢！又是一只老鼠？真恶心！
164,Mouse,Boss 2 Intro,,Hahaha!,Hahaha !,Hahaha!,"¡Ja, ja, ja!",Hahaha!,Ха-ха-ха!,ヌハハ！,하하하!,哈哈哈！,哈哈哈！,哈哈哈！
165,Gary,Boss 2 Intro,,Am I imagining things again?,Encore une hallucination ?,Bilde ich mir wieder was ein?,¿Estoy teniendo alucinaciones otra vez?,Será que estou delirando outra vez?,Опять мне всякая ерунда мерещится.,また幻を見ているのか？,내가 또 헛것을 보는 건가?,难道我又出幻觉了？,是我又出現幻覺了嗎？,是我又出现幻觉了吗？
166,Gary,Boss 2 Intro,,Kiki! Exterminate!,Kiki ! Tue-la !,Kiki! Merze sie aus!,¡Kiki! ¡Extermina!,Kiki! Exterminar!,Кики! Убей мышь!,キキ！駆除するんだ！,나비야! 없애버려!,琪琪！要除害了！,琪琪！清除害蟲！,琪琪！清除害虫！
167,Gary,Boss 2 Outro,,Whew.,Ouf.,Puh.,Fiu.,Ufa.,Уф-ф.,ふう。,휴.,咻~,咻~,咻~
168,Gary,Boss 2 Outro,,Kiki! You did great back there!,Kiki ! Tu as été impressionnante !,Kiki! Das hast du toll gemacht!,¡Kiki! ¡Lo has hecho de maravilla!,Kiki! Você se saiu muito bem!,Кики! Ты у меня такое солнышко!,キキ！よく戦ったぞ！,나비야! 잘했어!,琪琪！你刚才干得真棒！,琪琪！剛才做得真棒！,琪琪！刚才干得真棒！
169,Gary,Boss 2 Outro,,And this rat problem will definitely be in my report.,Mais je vais consigner ce problème de rongeurs dans mon rapport.,Und dieses Rattenproblem werde ich definitiv in meinem Bericht erwähnen.,Y desde luego voy a incluir el tema de las ratas en mi informe.,E essa infestação de ratos com certeza será mencionada no meu relatório.,Обязательно затребую у командования взвод дератизаторов.,ネズミの件は、わたしから必ず 報告しておく。,이 쥐 문제는 보고서에 꼭 적어야겠어.,这次的鼠患我一定会写到报告里去。,我必須把這鼠患寫進報告裡。,我必须把这鼠患写进报告里。
170,Gary,Boss 2 Outro,,Let's get moving. The final drain will be ahead!,Continue. Tu ne dois plus être loin du dernier tuyau !,Lass uns aufbrechen. Der letzte Abfluss liegt vor dir!,En marcha. ¡El último desagüe estará ahí delante!,Vamos continuar. O último ralo deve estar à frente!,"Все, идем дальше. Остался последний водоотвод.",先へ進もう。最後の排水管は 目のまえだ！,이동하자. 마지막 배수구가 바로 저 앞이야!,我们走吧。最后的排水口就在前面！,我們繼續吧。最後一個排水口就在前面啦！,咱们继续吧。最后一个排水口就在前面啦！
171,Gary,Heater Core Begin,,Hey Kiki... Looks like you found the Heater Core.,"Hé, Kiki... On dirait que tu as trouvé le module de chauffage.","Hey Kiki ... Sieht aus, als hättest du den Wärmetauscher gefunden.","Oye, Kiki... Parece que has encontrado el núcleo calefactor.","Ei, Kiki... Parece que você achou o Núcleo de Calefação.","Эй, Кики... Похоже, это Нагревательное ядро.",やあ、キキ...どうやら加熱炉を 見つけたか。,"저기, 나비야... 히터 코어에 도착했구나.",嘿，琪琪……你好像找到热核区了。,嘿琪琪...似乎你找到了加熱核心。,嘿琪琪...似乎你找到了加热核心。
172,Gary,Heater Core Begin,,This area is... Umm...,Cette zone est... Euh...,Dieses Gebiet ist ... äh ...,Esta área es... Mmm...,Esta área está... Hummm...,И тут... Очень...,このエリアは...その...,여긴... 어...,这片区域看起来……嗯……,這片區域...嗯...,这片区域...唔...
173,Gary,Heater Core Begin,,Really hot!,Vraiment chaude !,Ziemlich heiß!,¡Muy calurosa!,Quente à beça!,Жарко.,すっごく暑いぞ！,정말 뜨겁구나!,是真的热！,好熱呀！,好热呀！
174,Gary,Heater Core Begin,,You're going to want to stay inside the Mech for now.,Il faut que tu restes dans ta combinaison pour l'instant.,Du bleibst fürs Erste lieber im Mech.,Será mejor que te quedes dentro del meca por ahora.,É melhor você ficar dentro da armadura robótica por enquanto.,"Не вылезай из костюма, хорошо?",しばらくスーツを脱ぐんじゃない。,"메크 안에만 있고 싶겠는걸, 나비야.",你暂时先待在机甲里。,你可能一段時間都最好別脫機甲。,你可能一段时间都最好别脱机甲。
175,Gary,Heater Core Begin,,"It's not safe for you out there, okay?","Cette chaleur, c'est trop dangereux.","Da draußen ist es nicht sicher für dich, okay?","Sería peligroso salir ahí fuera, ¿vale?","Não é seguro para você no lado de fora, ok?","Туда нельзя, шерстку подпалишь.",外はおまえには危険なんだ、いいな？,"밖에 나가면 위험할 거야, 알겠지?",出来不安全，知道吗？,外面不安全，懂不懂？,外头不安全，懂不懂？
176,Gary,Heater Core Begin,,"Kiki, once it cools down, you can play all you want.","Kiki, dès que la température aura baissé, tu pourras sortir.","Sobald es abgekühlt ist, kannst du so viel spielen, wie du magst, Kiki.","Kiki, en cuanto la cosa se enfríe podrás jugar todo lo que quieras.","Kiki, depois que a temperatura baixar, você vai poder brincar à vontade.","Давай ты поиграешь, когда оно хотя бы чуть-чуть остынет, ладно?",あたりが冷えたら、好きなだけ 遊ぶといい。,"나비야, 일단 열을 식히면 원하는 만큼 놀 수 있을 거야.",琪琪，等凉下来后，随你怎么玩都行。,琪琪，等冷卻下來後，隨便你怎麼玩都行。,琪琪，等冷却下来后，随便你怎么玩都行。
177,Gary,Heater Core Begin,,"Be safe, kitty...","Sois prudente, minette...","Pass auf dich auf, Kätzchen ...","Ten cuidado, gatita...","Vá com cuidado, bichana...","Береги себя, котейка...",気をつけるんだぞ、ネコちゃん...,"부디 몸조심해, 나비야...",注意安全，小猫咪……,注意安全，小貓咪...,注意安全，小猫咪...
178,Gary,Heater Core Begin,,Over and out.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,通话完毕。,完畢。,完毕。
179,Gary,Heater Core Flow Tutorial,,Hmm... looks like the path is blocked by lava...,Hmm... On dirait que ce passage est bloqué par de la lave...,"Hmm ... sieht aus, als würde Lava den Weg blockieren ...",Mmm... Parece que la lava cierra el paso...,Hum... parece que a lava bloqueou o caminho...,Так... Лава не дает нам пройти...,ふむ...マグマが道を ふさいでいる...,음... 이 길은 용암에 막힌 거 같네...,嗯……看来路被岩浆给挡住了……,嗯...似乎道路被岩漿阻擋了...,唔...似乎道路被岩浆阻挡了...
180,Gary,Heater Core Flow Tutorial,,You'll need to stop the lava flow somehow...,Il faut que tu trouves un moyen de l'arrêter...,Du musst irgendwie den Lavafluss stoppen ...,Tendrás que cortar el flujo de lava de alguna forma...,Você vai precisar deter o fluxo de lava de alguma forma...,Надо как-то решить эту проблему...,マグマをどうにか止めないと いかんが...,용암이 흐르는 걸 어떻게든 막아야 할 거 같아...,你得想办法切断这些岩浆……,你得通過某種方法阻斷岩漿...,你得通过某种方法阻断岩浆...
181,Gary,Heater Core Flow Tutorial,,Keep moving forward and see what you can find...,"Continue d'avancer, vois ce que tu peux trouver...","Geh weiter und schau, was du finden kannst ...","Sigue avanzando, a ver qué encuentras...",Continue em frente e veja o que encontra...,"Пойдем пока дальше, может, придет чего в голову...",ひとまず奥へと進んでみるか...,일단 앞으로 계속 가서 뭐가 있는지 확인해봐...,继续前进吧，看下还能找到什么……,繼續往前走，看看能找到什麼吧...,继续往前走，看看能找到什么吧...
182,Gary,Heater Core Flow Tutorial,,"I believe in you, Kiki!","Je compte sur toi, Kiki !","Ich glaube an dich, Kiki!","¡Confío en ti, Kiki!","Eu acredito no seu potencial, Kiki!","Я в тебя верю, Кики!",信じているぞ、キキ！,"너만 믿고 있어, 나비야!",我相信你，琪琪！,我相信你哦，琪琪！,我相信你哦，琪琪！
183,Hotboy1,Hotboy1 Begin,,INTRUDER. INTRUDER. Stop right there!,INTRUSION. INTRUSION. Arrêtez-vous tout de suite !,EINDRINGLING. EINDRINGLING. Sofort stehenbleiben!,INTRUSO. INTRUSO. ¡Alto ahí!,INVASOR. INVASOR. Alto lá!,НАРУШИТЕЛЬ. НАРУШИТЕЛЬ. Немедленно остановитесь!,侵入者ケイホー。侵入者ケイホー。 そこでストォォォップ！,침입자. 침입자. 당장 멈춰라!,入侵者。入侵者。不许动！,入侵者。入侵者。不許動！,入侵者。入侵者。不许动！
184,Hotboy1,Hotboy1 Begin,,What's that smell?,Quelle est cette odeur ?,Was ist das für ein Geruch?,¿A qué huele?,Que cheiro é esse?,Что это пахнет?,このニオイは何だぁ？,이 냄새는 뭐지?,什么味道？,什麼味道？,什么味道？
185,Hotboy1,Hotboy1 Begin,,GASP! Is that a little kitty in there!?,OUPS ! C'est un petit chat qui est là-dedans ?,HUCH! Ist da etwa ein kleines Kätzchen drin?!,¡AH! ¡¿Hay una gatita ahí dentro?!,OH! Tem um gatinho aqui dentro?!,"ОХ! Там что, китинька?",ぐふわっ！それってネコが 入ってんのかぁ！？,으윽! 저 안에 고양이가 있는 건가!?,哦吼！里面是只小猫咪吗？！,哦呦！那裡頭是隻小貓咪嗎？！,哦呦！那里头是只小猫咪吗？！
186,Hotboy1,Hotboy1 Begin,,I haven't seen one of those in years!!!,Ça fait une éternité que je n'en ai pas vu !,Ich habe seit Jahren keines mehr gesehen!!!,¡¡Llevo años sin ver una!!,Faz tanto tempo que eu não vejo um gatinho!!!,"Боже, сто лет котейку не видел.",数年ぶりに見たっての！！！,몇 년간 본 적이 없는데!!!,我已经好多年没见过这玩意了！！！,好幾年沒見過這東西了！！！,好几年没见过这玩意儿了！！！
187,Hotboy1,Hotboy1 Begin,,I'm gonna melt you like a furry popsicle!!!,Tu vas fondre comme un esquimau poilu !,Ich lasse dich schmelzen wie ein flauschiges Eis am Stiel!!!,¡¡Voy a derretirte como si fueras un polo peludito!,Vou te derreter como um pudim peludinho!,"Сейчас я тебя запеку, как мясо по-французски!",もふもふの氷みたいに 溶かしてやらあ！！！,털복숭이 아이스캔디처럼 널 녹여주마!!!,我要把你当作毛茸冰棍一样给熔掉！！！,我要把你熔了，像一根毛茸茸的冰棒一樣！！！,我要把你熔了，像一根毛茸茸的冰棍儿一样！！！
188,Hotboy1,Hotboy1 End,,Ugghh...,Argh...,Uff ...,Uffff...,Urgggghh...,Уф-ф-ф...,ぬぐぐぐ...,으으으윽...,呃啊啊啊……,呃啊啊啊...,呃啊啊啊...
189,Hotboy1,Hotboy1 End,,You... are a lot tougher than you look...,Tu es... bien plus coriace que tu en as l'air...,Du ... bist viel hartnäckiger als du aussiehst ...,Eres... más fuerte de lo que pareces...,Você... você é bem mais resistente do que aparenta...,Я... тебя недооценил...,意外と...強えじゃねえか...,너... 보기보다 강하구나...,你……比你看上去猛多了……,你...比看上去可猛多了...,你...比看上去可猛多了...
190,Hotboy1,Hotboy1 End,,Kitty...,Petit chat...,Kätzchen ...,Gatita...,Felina...,Котейка...,ネコちゃんよお...,나비...,小猫咪……,小貓咪...,小猫咪...
191,Hotboy1,Hotboy1 End,,Heh... but I am not the last of my kind...,Mais je ne suis pas le dernier de mon espèce.,Ha ... aber ich bin nicht der letzte meiner Art ...,Je... Pero no soy el último de mi especie...,Hehe... mas eu não sou o último da minha espécie...,Хе... Но я - не последний из моего клана...,けどな...オレにはまだ仲間がいる...,헤... 하지만 내가 마지막이 아니다...,呵呵……但我还有兄弟……,呵呵...但我們族類不是只剩我一人...,呵呵...但我们族类并非只剩我一人...
192,Hotboy1,Hotboy1 End,,And the lava that flows through our pipes...,Et la lave qui s'écoule dans nos tuyaux,"Und die Lava, die durch unsere Rohre fließt ...",Y la lava que fluye por nuestras tuberías...,E a lava que flui em nossos canos...,Магма течет в наших трубах...,パイプをマグマが流れるかぎり...,그리고 파이프를 통해 흐르는 용암은...,而且我们管道里流淌着的岩浆……,我們管道裡流著的岩漿...,我们管道里流着的岩浆...
193,Hotboy1,Hotboy1 End,,Will heat our family's coals until time immemorial.,alimentera les chaudières de notre famille jusqu'à la nuit des temps.,Wird die Kohlen unserer Familie bis in alle Ewigkeit befeuern.,Calentará el carbón de nuestra familia hasta el fin de los tiempos.,Aquecerá as brasas da nossa família até o fim dos tempos.,Раскаляя наши сердца.,一族の石炭は燃えつづけるのさ。,오래도록 우리 가족의 석탄을 타오르게 할 것이다.,也将永恒地为我们家族加热燃料。,也將永生永世加熱我們家族的燃料。,也将永生永世加热我们家族的燃料。
194,Hotboy1,Hotboy1 End,,Brother!,Mon frère !,Bruder!,¡Hermano!,Irmão!,Брат мой!,兄ちゃん！,형!,哥啊！,兄弟啊！,兄弟啊！
195,Hotboy1,Hotboy1 End,,Avenge me!,Venge-moi !,Räche mich!,¡Véngame!,Vingue minha morte!,Отомсти за меня!,オレの仇を打ってくれ！,부디 복수를!,为我报仇吧！,為我復仇吧！,为我复仇吧！
196,Hotboy2,Hotboy2 Begin,,INTRUDER ALERT! Stop right there!,ALERTE INTRUSION ! Arrêtez-vous tout de suite !,ALARM! EINDRINGLING! Sofort stehenbleiben!,"¡ALERTA, INTRUSO! ¡Alto ahí!",ALERTA DE INVASÃO! Alto lá!,НАРУШИТЕЛЬ! Немедленно остановитесь!,侵入者ケイホー！ そこでストォォォップ！,침입자 경고! 당장 멈춰라!,入侵者警报！站住不许动！,入侵者警報！站住不許動！,入侵者警报！站住不许动！
197,Hotboy2,Hotboy2 Begin,,Gasp! It was you!,Oups ! C'est toi !,Huch! Du warst es!,¡Ah! ¡Eres tú!,Oh! Foi você!,ОХ! Это же ты!,ぬぐわっ！キサマか！,으윽! 너였구나!,哦吼！是你啊！,哦呦！是你啊！,哦呦！是你啊！
198,Hotboy2,Hotboy2 Begin,,I know what you did to my brother.,Je sais ce que tu as fait à mon frère.,"Ich weiß, was du meinem Bruder angetan hast.",Sé lo que le hiciste a mi hermano.,Eu sei o que você fez com meu irmão.,Это же ты убила моего брата.,よくもやったな。,네가 내 동생에게 한 짓은 알고 있다.,我知道你对我弟做了什么。,我知道你對我哥哥做了什麼。,我知道你对我哥哥做了什么。
199,Hotboy2,Hotboy2 Begin,,You ended his life prematurely.,Tu lui as pris la vie.,Du hast sein Leben vorzeitig beendet.,Acabaste con su vida de forma prematura.,Ele perdeu a vida cedo demais.,Это ты преждевременно прервала серебряную нить его жизни.,わが弟を滅ぼしおって。,내 동생을 어린 나이에 죽게 만들었지.,你结束了他年轻的生命。,你讓他英年早逝了。,你让他英年早逝了。
200,Hotboy2,Hotboy2 Begin,,Before he had a chance to grow a moustache!!!,Avant même qu'il n'ait le temps d'avoir une moustache !,Noch bevor er sich einen Schnurrbart wachsen lassen konnte!!!,¡¡Antes de que tuviera la ocasión de dejarse bigote!!,Antes mesmo que ele tivesse chance de cultivar um bigode!,"Еще до того, как у него начали расти усы.",まだ口ひげも生えて なかったのだぞ！！！,콧수염을 기르기도 전에 말이야!!!,他连胡子都还没长呢！！！,他連鬍子都還沒長！！！,他连胡子都还没长！！！
201,Hotboy2,Hotboy2 Begin,,As the old saying goes...,Comme on dit chez nous...,Wie lautet das alte Sprichwort ...,Como dice el dicho...,Como já diz o ditado...,"Знаешь, есть такая поговорка...",古くから言うように...,옛말에 이런 말이 있지...,正如老话所说……,俗話說得好...,老话说得好...
202,Hotboy2,Hotboy2 Begin,,Lava is thicker than blood.,Les liens de lave sont plus forts que ceux du sang.,Lava ist dicker als Blut.,La lava pesa más que la sangre.,A lava é mais grossa que o sangue.,В родной семье и лава гуще.,マグマは血よりも濃いのだ。,용암은 피보다 강하다.,岩浆浓于血。,岩漿濃於血。,岩浆浓于血。
203,Hotboy2,Hotboy2 Begin,,"My brother, I will avenge you!","Je te vengerai, mon frère !","Ich werde dich rächen, Bruder!","¡Hermano mío, te vengaré!","Irmão, eu vingarei você!","Я отомщу за тебя, брат!",弟よ、今こそ弔いをはたさん！,"동생아, 네 복수를 해주마!",弟弟啊，看我为你报仇！,哥哥啊，我要為你復仇！,哥哥啊，我要为你复仇！
204,Hotboy2,Hotboy2 End,,NOOOO!!!,NOOON !,NEEEIN!!!,¡¡NOOOO!!,NÃÃÃÃO!!!,НЕЕЕЕЕЕТ!!!,バカなぁぁぁぁぁっ！！！,안 돼애애!!!,不不不！！！,不！！！！,不！！！！
205,Hotboy2,Hotboy2 End,,This is... not over...,Ce n'est... pas fini...,Es ist ... nicht vorbei ...,Esto no ha... terminado...,Isso... não ficará assim...,Это... еще... не конец...,まだ...終わっとらんぞ...,아직... 끝나지... 않았어...,这事还……没完……,這事...還沒結束...,这事...没完...
206,Hotboy2,Hotboy2 End,,"Because although my body may crumble,",Ma carcasse peut bien s'écrouler...,Denn auch wenn mein Körper zerfallen,Aunque mi cuerpo se desmorone...,"Porque ainda que meu corpo sucumba,",Ведь даже когда мое тело покинет жизнь...,たとえわが肉体が滅し...,비록 내가 쓰러지더라도...,虽然我的肉体或许会消亡，,因為雖然我的肉體粉碎了，,因为虽然我的肉体或许粉碎了，
207,Hotboy2,Hotboy2 End,,And my heat... may dissipate...,Et ma chaleur... se dissiper...,und sich meine Hitze ... verflüchtigen mag ...,Y mi calor... se disipe...,E meu calor... se dissipe...,Когда пламя моего сердца потухнет...,わが熱気が...霧と散っても...,내 열기가... 소멸시킬 테니까...,我的热量……也或许会消失……,我的熱量...或許散失了...,我的热量...或许散失了...
208,Hotboy2,Hotboy2 End,,My mustache will live on forever!!!,Mais ma moustache vivra éternellement !,Mein Schnurrbart wird ewig leben!!!,¡¡Mi bigote vivirá para siempre!!,Meu bigode viverá para sempre!,Мои усы будут жить!!!,わがヒゲは永遠に生き続けよう！！！,나의 콧수염은 영원하리라!!!,但我的胡子将永垂不朽！！！,我的鬍子仍將永垂不朽！！！,我的胡子将永垂不朽！！！
209,Hotboy2,Hotboy2 End,,What?,Quoi ?,Was?,¿Qué?,Ahn?,Что?,はあ？,왜?,什么鬼？,說什麼呢？,什么玩意？
210,Mouse,Boss 3 Intro,,Psst!,Psst !,Psst!,¡Psst!,Psiu!,"Эй, пс-с!",おい！,야!,噗嘶！,嘿！,嘿！
211,Mouse,Boss 3 Intro,,"Down here, kitty!","Par ici, petit chat !","Hier unten, Kätzchen!","¡Aquí abajo, gatita!","Aqui embaixo, bichana!",Котейка!,こっちだ、ネコちゃん！,"여기다, 나비!",在下面，小猫咪！,下面這裡，小貓咪！,下面这儿呢，小猫咪！
212,Kiki,Boss 3 Intro,,Meowww?,Miaaaaou ?,Miauuu?,¿Miauuu?,Miaaaau?,Мяяяя?,みゃおーん？,야오오오옹?,喵喵喵？,喵喵喵？,喵喵喵？
213,Gary,Boss 3 Intro,,Who's there? State your name and rank!,Qui est là ? Déclinez votre nom et votre fonction !,Wer ist da? Bitte Namen und Rang angeben!,¿Quién anda ahí? ¡Di tu nombre y rango!,Quem é? Informe seu nome e sua patente!,Кто здесь? Представьтесь и назовите звание!,何者だ？名前と階級を言え！,누구지? 이름과 직위를 밝혀라!,谁在那？报上姓名和军阶来！,那是誰啊？報上姓名和軍銜來！,那是谁啊？报上姓名和军衔来！
214,Mouse,Boss 3 Intro,,Squeak squeak...squeak.,"Couic, couic... couic.","Quiek, quiek ... quiek.","Iiik, iik... Iik.",Squik squik... squik.,Пи-пи... Пи-пи-пи.,チューチュー...チュチュチュッ。,찍 찍...찍.,吱吱吱……吱吱。,吱吱吱...吱吱。,吱吱吱...吱吱。
215,Mouse,Boss 3 Intro,,Sir!,Chef !,Sir!,¡Señor!,Senhor!,Сэр!,でありますッ！,님이시다!,长官！,長官！,长官！
